IDCNTRY,IDBOOK,IDSCHOOL,IDCLASS,IDSTUD,IDTEALIN,IDTEACH,IDLINK,IDPOP,IDGRADER,IDGRADE,IDSUBJ,ITCOURSE,MATSUBJ,SCISUBJ,NMTEACH,NSTEACH,NTEACH,MATWGT,SCIWGT,TCHWGT,JKREP,JKZONE,ASMMAT01,ASMMAT02,ASMMAT03,ASMMAT04,ASMMAT05,ASSSCI01,ASSSCI02,ASSSCI03,ASSSCI04,ASSSCI05,ASMIBM01,ASMIBM02,ASMIBM03,ASMIBM04,ASMIBM05,ASSIBM01,ASSIBM02,ASSIBM03,ASSIBM04,ASSIBM05,VERSION,SCOPE
208.0,3.0,5002.0,500203.0,50020323.0,50020103.0,500201.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,21.853477,0.0,10.926739,0.0,22.0,543.7442,539.95008,528.53281,540.49561,580.57031,451.78895,516.27511,501.57369,481.35396,483.98798,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0,1.0
208.0,3.0,5003.0,500303.0,50030301.0,50030202.0,500302.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,20.744041,0.0,10.37202,0.0,36.0,431.87619,419.44458,422.28983,439.29093,517.17338,452.81477,450.57276,451.3623,462.04603,481.68989,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,5.0,1.0
208.0,3.0,5003.0,500303.0,50030301.0,50030404.0,500304.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,20.744041,10.37202,0.0,36.0,431.87619,419.44458,422.28983,439.29093,517.17338,452.81477,450.57276,451.3623,462.04603,481.68989,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,5.0,1.0
208.0,4.0,5003.0,500303.0,50030302.0,50030404.0,500304.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,20.744041,10.37202,0.0,36.0,503.83263,448.70946,533.98178,523.60034,529.24598,514.11084,540.01777,553.26085,507.03709,479.70147,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,1.0
208.0,4.0,5003.0,500303.0,50030302.0,50030202.0,500302.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,20.744041,0.0,10.37202,0.0,36.0,503.83263,448.70946,533.98178,523.60034,529.24598,514.11084,540.01777,553.26085,507.03709,479.70147,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,1.0
208.0,5.0,5003.0,500303.0,50030303.0,50030202.0,500302.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,20.744041,0.0,10.37202,0.0,36.0,477.06137,485.41616,471.92427,468.07842,476.09451,500.09317,511.06125,453.74845,502.09511,526.14334,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,1.0
208.0,5.0,5003.0,500303.0,50030303.0,50030404.0,500304.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,20.744041,10.37202,0.0,36.0,477.06137,485.41616,471.92427,468.07842,476.09451,500.09317,511.06125,453.74845,502.09511,526.14334,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,1.0
208.0,6.0,5003.0,500303.0,50030304.0,50030404.0,500304.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,20.744041,10.37202,0.0,36.0,582.43571,596.65227,589.8528,616.50241,591.23135,547.75027,555.11545,541.64072,576.68439,542.26065,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,1.0
208.0,6.0,5003.0,500303.0,50030304.0,50030202.0,500302.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,20.744041,0.0,10.37202,0.0,36.0,582.43571,596.65227,589.8528,616.50241,591.23135,547.75027,555.11545,541.64072,576.68439,542.26065,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,1.0
208.0,7.0,5003.0,500303.0,50030305.0,50030202.0,500302.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,20.744041,0.0,10.37202,0.0,36.0,447.45792,448.14268,485.32404,532.14875,473.1751,484.05946,465.95258,493.32794,552.27723,463.76025,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,5.0,1.0
208.0,7.0,5003.0,500303.0,50030305.0,50030404.0,500304.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,20.744041,10.37202,0.0,36.0,447.45792,448.14268,485.32404,532.14875,473.1751,484.05946,465.95258,493.32794,552.27723,463.76025,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,5.0,1.0
208.0,15.0,5003.0,500303.0,50030306.0,50030404.0,500304.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,20.744041,10.37202,0.0,36.0,596.39856,623.63929,605.96255,615.15399,646.46778,572.95645,598.71335,644.24066,607.30979,578.23366,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,1.0
208.0,15.0,5003.0,500303.0,50030306.0,50030202.0,500302.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,20.744041,0.0,10.37202,0.0,36.0,596.39856,623.63929,605.96255,615.15399,646.46778,572.95645,598.71335,644.24066,607.30979,578.23366,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,1.0
